S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
132390	132500	446350	446240	Trichococcus_pasteurii_NZ_UETS01000005.1	contig_1014	93.69		False
505	615	446240	446350	Trichococcus_pasteurii_NZ_UETS01000019.1	contig_1014	93.69		True
CONTIG	contig_1014	912998	correct_unaligned
CONTIG	contig_1015	138799	unaligned
CONTIG	contig_1016	13888	unaligned
CONTIG	contig_1017	7428	unaligned
CONTIG	contig_1018	23630	unaligned
CONTIG	contig_1019	29515	unaligned
4168147	4174159	6207	192	Raoultella_ornithinolytica_NZ_CP138913.1	contig_102	97.49		True
CONTIG	contig_102	6207	correct
1603648	1603725	355226	355303	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1020	97.44		True
CONTIG	contig_1020	798160	correct_unaligned
2612706	2612783	70680	70757	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1021	100.0		True
CONTIG	contig_1021	254537	correct_unaligned
1717307	1717383	139349	139273	Sulfuritalea_hydrogenivorans_sk43H_NZ_AP012547.1	contig_1022	97.4		True
CONTIG	contig_1022	295246	correct_unaligned
CONTIG	contig_1025	37191	unaligned
CONTIG	contig_1026	4380	unaligned
1128	1340	44511	44307	Trichococcus_pasteurii_NZ_UETS01000019.1	contig_1027	91.08		True
unknown
433	765	45209	44876	Trichococcus_pasteurii_NZ_UETS01000019.1	contig_1027	90.42		True
unknown
CONTIG	contig_1027	53891	mis_unaligned
2454783	2455982	28545	27351	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1028	99.0		False
5058759	5059956	28547	27355	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1028	99.0		False
4023139	4024475	29681	31016	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1028	99.48		False
2461546	2462747	28548	27352	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1028	99.0		True
unknown
5222346	5223685	29681	31019	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1028	99.48		True
unknown
CONTIG	contig_1028	31028	mis_unaligned
2461613	2462487	4214	3339	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	97.95		False
2454847	2455721	4214	3339	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	97.95		False
5058825	5059699	4214	3339	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	97.95		False
4789029	4789966	4277	3339	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	93.94		False
962992	963929	4277	3339	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	93.94		False
4913791	4914728	4277	3339	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	93.94		False
4414399	4415336	3339	4277	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	93.94		False
3078583	3079520	4277	3339	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	93.94		False
3757697	3758634	3339	4277	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	93.94		False
4231968	4232905	4277	3339	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	93.94		False
573623	574560	4277	3339	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	93.94		False
573686	574674	23774	24761	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	93.54		False
963055	964043	23774	24761	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	93.54		False
4789092	4790080	23774	24761	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	93.54		False
3757583	3758571	24761	23774	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	93.54		False
3078646	3079634	23774	24761	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	93.54		False
4913854	4914842	23774	24761	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	93.54		False
3042341	3043329	23774	24761	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	93.54		False
4232031	4233019	23774	24761	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	93.54		False
4414285	4415273	24761	23774	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	93.54		False
5058759	5059956	23708	24903	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	98.75		False
2454783	2455982	23710	24907	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	98.75		False
2454857	2455273	47888	48304	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	91.61		False
5058835	5059251	47888	48304	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	91.61		False
2461623	2462039	47888	48304	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	91.61		False
4231967	4232457	47814	48304	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	99.39		False
962991	963481	47814	48304	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	99.39		False
3042277	3042767	47814	48304	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	99.39		False
4913790	4914280	47814	48304	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	99.39		False
4789028	4789518	47814	48304	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	99.39		False
3078582	3079072	47814	48304	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	99.39		False
4414837	4415337	48314	47814	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	99.4		False
3758135	3758635	48314	47814	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	99.4		False
2455397	2455835	48305	48740	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	94.76		False
5059375	5059813	48305	48740	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	94.76		False
2462163	2462601	48305	48740	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	94.76		False
4414171	4414713	48856	48315	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	98.34		False
3757469	3758011	48856	48315	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	98.34		False
4232581	4233133	48305	48856	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	98.37		False
963605	964157	48305	48856	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	98.37		False
3042891	3043443	48305	48856	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	98.37		False
4914404	4914956	48305	48856	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	98.37		False
4789642	4790194	48305	48856	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	98.37		False
3079196	3079748	48305	48856	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	98.37		False
3042271	3043215	4285	3339	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	93.88		True
unknown
2461545	2462747	23706	24906	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	98.75		True
unknown
1330699	1331050	43221	43573	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	90.37		True
unknown
573619	574112	47811	48304	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	99.39		True
unknown
574236	574788	48305	48856	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	98.37		True
unknown
583702	584187	48861	49345	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	97.94		True
unknown
584188	584619	51613	52044	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	96.76		True
unknown
584624	584931	54848	55155	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1029	95.13		True
unknown
CONTIG	contig_1029	78684	mis_unaligned
4808804	4808932	276	148	Raoultella_ornithinolytica_NZ_CP138913.1	contig_103	94.57		True
CONTIG	contig_103	8476	correct_unaligned
2698641	2698889	7953	8200	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	93.98		False
4848957	4849816	81369	80511	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	93.26		False
1395393	1396330	80437	81372	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	92.0		False
1291536	1292473	80437	81372	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	92.0		False
269210	270147	81372	80437	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	92.0		False
1511096	1512034	80437	81373	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	92.01		False
3512637	3513575	80437	81373	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	92.01		False
3713262	3714201	81374	80437	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	92.02		False
3757583	3758571	183839	182854	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	93.93		False
573686	574674	182854	183839	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	93.93		False
963055	964043	182854	183839	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	93.93		False
3042341	3043329	182854	183839	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	93.93		False
4913854	4914842	182854	183839	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	93.93		False
4789092	4790080	182854	183839	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	93.93		False
4414285	4415273	183839	182854	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	93.93		False
4232031	4233019	182854	183839	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	93.93		False
2454783	2455978	182790	183981	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	99.08		False
5058759	5059957	182788	183982	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	99.08		False
3078646	3079780	182854	183985	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	91.31		False
1510978	1512033	185224	184171	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	99.43		False
3512519	3513574	185224	184171	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	99.43		False
2120590	2121645	185224	184171	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	99.43		False
3713264	3714319	184171	185224	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	99.43		False
269209	270265	184170	185224	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	99.43		False
1291417	1292473	185225	184171	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	99.43		False
1330342	1330516	205014	205187	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	93.71		False
4023139	4024475	220189	221523	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	92.89		False
4789258	4790080	253764	254583	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	95.02		False
3078812	3079634	253764	254583	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	95.02		False
3757583	3758405	254583	253764	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	95.02		False
4232197	4233019	253764	254583	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	95.02		False
963221	964043	253764	254583	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	95.02		False
4414285	4415107	254583	253764	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	95.02		False
4914020	4914842	253764	254583	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	95.02		False
3042507	3043329	253764	254583	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	95.02		False
573852	574674	253764	254583	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	95.02		False
2461768	2462744	253753	254724	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	98.57		False
5058980	5059957	253753	254725	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	98.57		False
573686	574674	260393	261380	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	94.34		False
3757583	3758571	261380	260393	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	94.34		False
4913854	4914842	260393	261380	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	94.34		False
4232031	4233019	260393	261380	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	94.34		False
3078646	3079634	260393	261380	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	94.34		False
4789092	4790080	260393	261380	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	94.34		False
963055	964043	260393	261380	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	94.34		False
4414285	4415273	261380	260393	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	94.34		False
3042341	3043329	260393	261380	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	94.34		False
5058759	5059956	260327	261522	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	99.25		False
2454783	2455982	260329	261526	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	99.25		False
1330285	1331054	7155	7921	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	99.35		True
unknown
1330286	1331057	16838	16061	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	98.59		True
unknown
2120708	2121647	80437	81374	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	92.02		True
unknown
584624	584931	161049	160742	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	94.81		True
unknown
583703	584619	163189	162273	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	96.95		True
unknown
2155304	2157482	166949	164777	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	96.37		True
unknown
2461545	2462744	182786	183981	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	99.08		True
unknown
1395275	1396332	185224	184169	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	99.43		True
unknown
5222346	5223685	220189	221526	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	92.91		True
unknown
1330286	1331054	253752	252987	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	98.44		True
unknown
2455002	2455978	253753	254724	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	98.57		True
unknown
2461546	2462747	260326	261525	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1030	99.25		True
unknown
CONTIG	contig_1030	265611	mis_unaligned
CONTIG	contig_1031	6048	unaligned
4848957	4849816	10192	9335	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1033	98.72		True
CONTIG	contig_1033	10203	correct_unaligned
5058761	5059856	1126	29	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1034	98.73		False
2461549	2462644	1126	29	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1034	98.73		False
2454780	2455878	1129	29	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1034	98.73		True
CONTIG	contig_1034	1536	correct
CONTIG	contig_1035	16444	unaligned
CONTIG	contig_1036	36895	unaligned
CONTIG	contig_1037	78677	unaligned
CONTIG	contig_1038	22160	unaligned
CONTIG	contig_1039	12020	unaligned
4812143	4812318	176	1	Raoultella_ornithinolytica_NZ_CP138913.1	contig_104	95.48		False
4706117	4706292	176	1	Raoultella_ornithinolytica_NZ_CP138913.1	contig_104	95.48		False
4174402	4174577	176	1	Raoultella_ornithinolytica_NZ_CP138913.1	contig_104	95.48		False
5359989	5360164	1	176	Raoultella_ornithinolytica_NZ_CP138913.1	contig_104	95.48		False
620324	620499	1	176	Raoultella_ornithinolytica_NZ_CP138913.1	contig_104	95.48		False
4575062	4575237	176	1	Raoultella_ornithinolytica_NZ_CP138913.1	contig_104	95.48		False
3804302	3804477	176	1	Raoultella_ornithinolytica_NZ_CP138913.1	contig_104	95.48		False
4616437	4616612	176	1	Raoultella_ornithinolytica_NZ_CP138913.1	contig_104	95.48		True
CONTIG	contig_104	565	correct
CONTIG	contig_1042	7909	unaligned
212670	213424	28522	27767	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1043	90.34		True
unknown
204212	205272	43185	42123	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1043	91.44		True
unknown
144060	144352	78535	78249	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1043	90.17		True
unknown
45793	46320	191686	191154	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1043	90.62		True
unknown
42004	44003	195618	193619	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1043	90.45		True
unknown
CONTIG	contig_1043	199545	mis_unaligned
4414285	4415273	1245	2231	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	94.34		False
573686	574674	2231	1245	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	94.34		False
963055	964043	2231	1245	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	94.34		False
4913854	4914842	2231	1245	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	94.34		False
3757583	3758571	1245	2231	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	94.34		False
3042341	3043329	2231	1245	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	94.34		False
4232031	4233019	2231	1245	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	94.34		False
4789092	4790080	2231	1245	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	94.34		False
3078646	3079634	2231	1245	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	94.34		False
2454783	2455978	2295	1104	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	98.91		False
5058759	5059956	2297	1104	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	98.91		False
4446903	4446976	5674	5601	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	100.0		False
4848957	4849816	14840	15699	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	95.71		False
3512637	3513574	15774	14837	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	90.1		False
2120708	2121645	15774	14837	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	90.1		False
1395393	1396330	15774	14837	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	90.1		False
3713264	3714201	14837	15774	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	90.1		False
1511096	1512033	15774	14837	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	90.1		False
269210	270147	14837	15774	Raoultella_ornithinolytica_NZ_CP138913.1	contig_1044	90.1		False
